episode,step,ep_reward,ep_length,ep_v,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_reward_100,mean_length_100,mean_v_100,x_pos,coins,score,flag_get
0,2048,299.45,435,0.5687,0.0,0.0,0.0,0.0,0.0,299.45,435.0,0.5687,898,2,600,0
1,4096,342.96,791,0.2332,-0.002843,0.615059,1.941559,0.003254,0.0264,321.2,613.0,0.401,1417,0,400,0
2,4096,294.26,525,-0.3916,-0.002843,0.615059,1.941559,0.003254,0.0264,312.22,583.7,0.1368,898,2,500,0
3,6144,345.5,1065,-0.0242,-0.003916,0.524118,1.927507,0.008548,0.0623,320.54,704.0,0.0965,796,1,300,0
4,8192,433.0,1574,-0.1332,-0.002399,0.591011,1.918202,0.001939,0.0283,343.03,878.0,0.0506,900,0,300,0
5,8192,508.77,574,-0.1889,-0.002399,0.591011,1.918202,0.001939,0.0283,370.66,827.3,0.0107,1515,4,1000,0
6,8192,456.57,776,-0.2907,-0.002399,0.591011,1.918202,0.001939,0.0283,382.93,820.0,-0.0324,1132,2,800,0
7,8192,452.12,1147,-0.3837,-0.002399,0.591011,1.918202,0.001939,0.0283,391.58,860.9,-0.0763,1512,2,900,0
8,8192,492.36,409,-0.3826,-0.002399,0.591011,1.918202,0.001939,0.0283,402.78,810.7,-0.1103,1792,4,1400,0
9,10240,498.65,623,-0.5296,-0.00448,0.888547,1.899817,0.005512,0.0676,412.36,791.9,-0.1523,1426,1,700,0
10,10240,356.29,341,-0.658,-0.00448,0.888547,1.899817,0.005512,0.0676,407.27,750.9,-0.1982,1421,1,400,0
11,10240,366.72,245,-0.69,-0.00448,0.888547,1.899817,0.005512,0.0676,403.89,708.8,-0.2392,682,1,300,0
12,12288,686.79,882,-0.6181,-0.000732,0.91974,1.881641,0.003219,0.0466,425.65,722.1,-0.2684,1780,4,1200,0
13,12288,501.81,525,-0.8001,-0.000732,0.91974,1.881641,0.003219,0.0466,431.09,708.0,-0.3063,811,3,1000,0
14,12288,535.49,539,-0.7819,-0.000732,0.91974,1.881641,0.003219,0.0466,438.05,696.7,-0.338,843,3,900,0
15,12288,488.85,349,-0.8275,-0.000732,0.91974,1.881641,0.003219,0.0466,441.23,675.0,-0.3686,1798,2,800,0
16,12288,260.21,194,-0.7879,-0.000732,0.91974,1.881641,0.003219,0.0466,430.58,646.7,-0.3933,663,3,600,0
17,14336,320.0,331,-1.0766,-0.000642,1.221894,1.851792,0.006032,0.0576,424.43,629.2,-0.4313,899,3,800,0
18,14336,737.86,1180,-0.9777,-0.000642,1.221894,1.851792,0.006032,0.0576,440.93,658.2,-0.46,1411,1,900,0
19,14336,461.24,516,-1.0731,-0.000642,1.221894,1.851792,0.006032,0.0576,441.95,651.0,-0.4907,1220,1,600,0
20,14336,655.73,712,-1.0545,-0.000642,1.221894,1.851792,0.006032,0.0576,452.13,654.0,-0.5175,1405,1,600,0
21,16384,407.29,306,-0.9748,0.002903,0.883606,1.824601,0.00189,0.0259,450.09,638.1,-0.5383,836,0,200,0
22,16384,452.21,398,-0.9466,0.002903,0.883606,1.824601,0.00189,0.0259,450.18,627.7,-0.5561,1656,0,300,0
23,16384,407.23,331,-0.8093,0.002903,0.883606,1.824601,0.00189,0.0259,448.39,615.3,-0.5666,797,3,600,0
24,16384,499.45,388,-0.7341,0.002903,0.883606,1.824601,0.00189,0.0259,450.43,606.2,-0.5733,1521,0,400,0
25,16384,460.9,296,-0.6437,0.002903,0.883606,1.824601,0.00189,0.0259,450.84,594.3,-0.576,1792,0,200,0
26,16384,375.46,323,-0.6869,0.002903,0.883606,1.824601,0.00189,0.0259,448.04,584.3,-0.5801,801,1,500,0
27,18432,534.41,391,-0.8596,0.002239,1.627606,1.803286,0.007241,0.0798,451.13,577.4,-0.5901,1523,1,500,0
28,18432,567.45,371,-1.2614,0.002239,1.627606,1.803286,0.007241,0.0798,455.14,570.2,-0.6133,1141,1,500,0
29,18432,592.61,455,-1.1859,0.002239,1.627606,1.803286,0.007241,0.0798,459.72,566.4,-0.6323,1412,0,500,0
30,18432,179.02,107,-1.3166,0.002239,1.627606,1.803286,0.007241,0.0798,450.67,551.6,-0.6544,311,1,200,0
31,20480,480.57,453,-1.4047,0.002469,1.965869,1.720189,0.007349,0.0359,451.6,548.5,-0.6779,1229,0,200,0
